id,Treated,Nucleus,Cytoplasm,Wall
1,0,1,65,22
2,0,5,67,30
3,0,4,79,24
4,0,1,44,10
5,0,1,44,31
6,0,2,73,23
7,0,3,46,6
8,0,5,29,12
9,0,2,24,38
10,0,1,75,20
11,0,3,77,14
12,0,2,28,12
13,0,5,1,49
14,0,3,80,9
15,0,4,4,41
16,0,4,12,21
17,0,2,20,14
18,0,1,16,30
19,0,4,69,19
20,0,4,43,23
21,0,3,77,15
22,0,3,59,23
23,0,5,25,16
24,0,5,28,46
25,0,5,41,11
26,0,2,84,15
27,0,3,30,40
28,0,2,16,11
29,0,1,84,29
30,0,1,30,25
31,0,4,7,38
32,0,1,27,40
33,0,1,18,9
34,0,2,79,18
35,0,4,23,42
36,0,2,50,49
37,0,5,79,2
38,0,3,4,33
39,0,3,88,42
40,0,4,52,16
41,0,5,6,5
42,0,5,38,50
43,0,4,84,2
44,0,3,73,44
45,0,3,3,7
46,0,2,50,3
47,0,2,93,17
48,0,5,24,36
49,0,1,92,11
50,0,1,56,19
51,1,4,92,7
52,1,1,81,6
53,1,9,163,11
54,1,4,29,3
55,1,3,154,3
56,1,8,113,13
57,1,2,152,19
58,1,1,83,12
59,1,2,102,5
60,1,9,189,15
61,1,7,126,5
62,1,1,146,18
63,1,2,179,14
64,1,9,94,10
65,1,3,70,5
66,1,6,167,17
67,1,8,105,6
68,1,7,2,9
69,1,3,70,6
70,1,8,77,18
71,1,5,186,3
72,1,7,13,15
73,1,6,123,17
74,1,4,114,18
75,1,4,49,4
76,1,6,178,1
77,1,5,132,1
78,1,4,126,2
79,1,5,94,0
80,1,5,144,10
81,1,4,42,2
82,1,4,173,3
83,1,3,36,4
84,1,5,168,3
85,1,6,92,19
86,1,3,186,18
87,1,2,137,2
88,1,3,87,14
89,1,7,19,19
90,1,2,65,14
91,1,6,6,7
92,1,2,200,5
93,1,8,41,1
94,1,1,186,6
95,1,1,98,20
96,1,7,128,11
97,1,1,149,13
98,1,9,175,17
99,1,8,148,20
100,1,9,9,7
