id,treated,nucleus,cytoplasm,wall
1,0,1,57,46
2,0,5,5,8
3,0,4,27,39
4,0,1,68,14
5,0,1,82,18
6,0,2,47,15
7,0,3,80,32
8,0,5,19,26
9,0,2,34,24
10,0,1,38,27
11,0,3,86,42
12,0,2,35,49
13,0,5,88,12
14,0,3,75,9
15,0,4,55,14
16,0,4,47,9
17,0,2,51,36
18,0,1,18,0
19,0,4,51,0
20,0,4,18,29
21,0,3,98,24
22,0,3,79,30
23,0,5,22,40
24,0,5,72,14
25,0,5,49,28
26,0,2,85,24
27,0,3,19,40
28,0,2,79,25
29,0,1,90,27
30,0,1,55,43
31,0,4,20,15
32,0,1,51,0
33,0,1,70,6
34,0,2,5,12
35,0,4,12,1
36,0,2,66,27
37,0,5,43,23
38,0,3,74,46
39,0,3,48,4
40,0,4,80,46
41,0,5,47,28
42,0,5,74,34
43,0,4,83,43
44,0,3,59,14
45,0,3,28,9
46,0,2,56,36
47,0,2,71,33
48,0,5,29,46
49,0,1,11,3
50,0,1,35,38
51,1,4,132,9
52,1,1,129,20
53,1,9,155,9
54,1,4,79,12
55,1,3,124,11
56,1,8,184,13
57,1,2,184,13
58,1,1,11,12
59,1,2,178,13
60,1,9,161,14
61,1,7,188,19
62,1,1,174,20
63,1,2,107,18
64,1,9,126,10
65,1,3,185,14
66,1,6,190,13
67,1,8,151,1
68,1,7,167,10
69,1,3,10,13
70,1,8,150,16
71,1,5,199,16
72,1,7,84,20
73,1,6,35,19
74,1,4,15,10
75,1,4,117,2
76,1,6,137,18
77,1,5,9,18
78,1,4,87,4
79,1,5,141,1
80,1,5,112,10
81,1,4,80,8
82,1,4,183,4
83,1,3,141,18
84,1,5,181,1
85,1,6,103,3
86,1,3,3,15
87,1,2,47,2
88,1,3,128,9
89,1,7,119,18
90,1,2,175,18
91,1,6,30,13
92,1,2,98,5
93,1,8,186,10
94,1,1,47,3
95,1,1,6,11
96,1,7,68,5
97,1,1,185,16
98,1,9,119,12
99,1,8,170,18
100,1,9,10,9
